REPORTE DE VENTAS POR ARTICULO
Empresa demostracion S. de R.L.;;Emitido por el sistema

FECHAEMISION;COD_ARTICULO;DESCRIPCION;CANT;PRECIO_UNIT;COSTO_UNIT;CLIENTE
22/06/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-11
22/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-12
22/06/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-13
23/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-14
23/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-15
23/06/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-16
24/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-17
24/06/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-18
24/06/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-01
25/06/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-02
25/06/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-03
25/06/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-04
26/06/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-05
26/06/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-06
26/06/2026;P-004;Producto por agotarse;15;L 160.00;L 105.00;C-07
27/06/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-08
27/06/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-09
27/06/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-10
27/06/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-11
28/06/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-12
28/06/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-13
28/06/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-14
29/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-15
29/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-16
29/06/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-17
30/06/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-18
30/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-01
30/06/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-02
01/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-03
01/07/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-04
01/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-05
01/07/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-06
02/07/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-07
02/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-08
02/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-09
03/07/2026;P-001;Producto rentable;11;L 180.00;L 95.00;C-10
03/07/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-11
03/07/2026;P-004;Producto por agotarse;16;L 160.00;L 105.00;C-12
04/07/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-13
04/07/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-14
04/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-15
05/07/2026;P-001;Producto rentable;12;L 180.00;L 95.00;C-16
05/07/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-17
05/07/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-18
06/07/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-01
06/07/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-02
06/07/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-03
07/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-04
07/07/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-05
07/07/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-06
08/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-07
08/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-08
08/07/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-09
09/07/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-10
09/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-11
09/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-12
10/07/2026;P-001;Producto rentable;11;L 180.00;L 95.00;C-13
10/07/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-14
10/07/2026;P-003;Producto con margen bajo;11;L 105.00;L 100.00;C-15
10/07/2026;P-004;Producto por agotarse;16;L 160.00;L 105.00;C-16
11/07/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-17
11/07/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-18
11/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-01
12/07/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-02
12/07/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-03
12/07/2026;P-004;Producto por agotarse;22;L 160.00;L 105.00;C-04
13/07/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-05
13/07/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-06
13/07/2026;P-004;Producto por agotarse;21;L 160.00;L 105.00;C-07
14/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-08
14/07/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-09
14/07/2026;P-004;Producto por agotarse;22;L 160.00;L 105.00;C-10
15/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-11
15/07/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-12
15/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-13
15/07/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-14
16/07/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-15
16/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-16
16/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-17
17/07/2026;P-001;Producto rentable;11;L 180.00;L 95.00;C-18
17/07/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-01
17/07/2026;P-004;Producto por agotarse;16;L 160.00;L 105.00;C-02
18/07/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-03
18/07/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-04
18/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-05
19/07/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-06
19/07/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-07
19/07/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-08
20/07/2026;P-001;Producto rentable;14;L 180.00;L 95.00;C-09
20/07/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-10
20/07/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-11
21/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-12
21/07/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-13
21/07/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-14
22/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-15
22/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-16
22/07/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-17
23/07/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-18
23/07/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-01
23/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-02
23/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-03
24/07/2026;P-001;Producto rentable;11;L 180.00;L 95.00;C-04
24/07/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-05
24/07/2026;P-004;Producto por agotarse;16;L 160.00;L 105.00;C-06
25/07/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-07
25/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-08
25/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-09
26/07/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-10
26/07/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-11
26/07/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-12
27/07/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-13
27/07/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-14
27/07/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-15
28/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-16
28/07/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-17
28/07/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-18
29/07/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-01
29/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-02
29/07/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-03
30/07/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-04
30/07/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-05
30/07/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-06
31/07/2026;P-001;Producto rentable;11;L 180.00;L 95.00;C-07
31/07/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-08
31/07/2026;P-004;Producto por agotarse;16;L 160.00;L 105.00;C-09
